epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1267,1.55255,3.32605,1.80943,0.45341,0.34997,0.23302,0.12184,1.58253,2.8346,2.0703,0.000165548,0.000165548,0.000165548
2,143.537,1.47067,2.4121,1.66554,0.54182,0.36998,0.33786,0.17959,1.65809,2.52545,2.15818,0.000322818,0.000322818,0.000322818
3,216.034,1.45984,2.13679,1.64106,0.57523,0.40822,0.39582,0.22677,1.57424,2.13311,2.03735,0.000470659,0.000470659,0.000470659
4,287.408,1.45302,1.93382,1.62847,0.58344,0.47903,0.452,0.24977,1.63198,1.84375,1.99771,0.000457571,0.000457571,0.000457571
5,362.041,1.43603,1.80725,1.60477,0.57216,0.46626,0.50278,0.26702,1.67366,1.73282,2.04186,0.000443429,0.000443429,0.000443429
6,445.371,1.44254,1.64724,1.59647,0.54699,0.59563,0.55217,0.29724,1.54762,1.48457,1.89211,0.000429286,0.000429286,0.000429286
7,523.942,1.44764,1.59447,1.59963,0.53715,0.69664,0.62124,0.34509,1.56617,1.36033,1.88779,0.000415143,0.000415143,0.000415143
8,604.125,1.40016,1.51499,1.56848,0.61549,0.62713,0.58802,0.30984,1.59087,1.32543,1.93848,0.000401,0.000401,0.000401
9,691.762,1.41268,1.43932,1.58137,0.58238,0.60474,0.60745,0.34068,1.55347,1.28047,1.89023,0.000386857,0.000386857,0.000386857
10,772.334,1.3925,1.40792,1.56461,0.65509,0.64074,0.63382,0.3596,1.54186,1.20069,1.89835,0.000372714,0.000372714,0.000372714
11,853.411,1.39388,1.34997,1.55099,0.74171,0.63108,0.69068,0.37767,1.54358,1.10662,1.89462,0.000358571,0.000358571,0.000358571
12,1230.93,1.36046,1.29881,1.55095,0.6351,0.62925,0.67839,0.39199,1.54745,1.11715,1.87987,0.000344429,0.000344429,0.000344429
13,1298.15,1.37043,1.27271,1.53043,0.76761,0.60187,0.7328,0.40983,1.53219,1.05747,1.90103,0.000330286,0.000330286,0.000330286
14,1368.74,1.35103,1.20476,1.52204,0.58448,0.676,0.72287,0.4174,1.51193,1.00848,1.8546,0.000316143,0.000316143,0.000316143
15,1444.88,1.34761,1.18654,1.52202,0.62231,0.78272,0.71213,0.37972,1.55905,0.99289,1.8946,0.000302,0.000302,0.000302
16,1519.4,1.31781,1.15662,1.50214,0.71383,0.69587,0.74177,0.42498,1.51566,0.92229,1.84242,0.000287857,0.000287857,0.000287857
17,1597.29,1.32454,1.12587,1.49262,0.7766,0.67218,0.74085,0.41581,1.60095,0.94388,1.9231,0.000273714,0.000273714,0.000273714
18,1684.47,1.30399,1.1035,1.49444,0.6648,0.75579,0.79602,0.45337,1.569,0.90659,1.88636,0.000259571,0.000259571,0.000259571
19,1765.27,1.29339,1.09174,1.47858,0.63813,0.72528,0.79061,0.43813,1.58395,0.91235,1.89396,0.000245429,0.000245429,0.000245429
20,1848.14,1.2928,1.07617,1.47778,0.67858,0.69893,0.77224,0.42476,1.57064,0.90548,1.89271,0.000231286,0.000231286,0.000231286
21,1937.94,1.28046,1.03439,1.46878,0.62757,0.70342,0.75678,0.42345,1.54935,0.89149,1.87175,0.000217143,0.000217143,0.000217143
22,2020.72,1.29007,1.02083,1.47899,0.79083,0.68237,0.78497,0.43468,1.56252,0.86831,1.89155,0.000203,0.000203,0.000203
23,2105.52,1.26135,1.00151,1.46073,0.66963,0.7273,0.76892,0.41984,1.57733,0.85888,1.89055,0.000188857,0.000188857,0.000188857
24,2196.22,1.25483,0.97021,1.45155,0.62748,0.77456,0.78677,0.44285,1.58784,0.83203,1.9266,0.000174714,0.000174714,0.000174714
25,2280.17,1.24495,0.95998,1.45205,0.6953,0.80997,0.8283,0.46438,1.5747,0.78846,1.91143,0.000160571,0.000160571,0.000160571
26,2418.14,1.22693,0.81966,1.59782,0.75293,0.74707,0.82098,0.47264,1.56468,0.82856,1.89198,0.000146429,0.000146429,0.000146429
27,2496.94,1.1852,0.74822,1.56058,0.70982,0.72063,0.80805,0.4632,1.56533,0.84105,1.86436,0.000132286,0.000132286,0.000132286
28,2579.98,1.18535,0.74365,1.55453,0.70395,0.7974,0.81322,0.45979,1.54223,0.8175,1.87494,0.000118143,0.000118143,0.000118143
29,2669.68,1.14668,0.70921,1.53386,0.71803,0.83163,0.81994,0.45893,1.58282,0.8048,1.91373,0.000104,0.000104,0.000104
30,2753.26,1.15458,0.68001,1.53664,0.67945,0.84879,0.81265,0.45402,1.56757,0.79488,1.91509,8.98571e-05,8.98571e-05,8.98571e-05
31,2837.74,1.12348,0.66829,1.51354,0.72933,0.85452,0.83694,0.46822,1.56748,0.78252,1.91446,7.57143e-05,7.57143e-05,7.57143e-05
32,2927,1.10568,0.66953,1.48742,0.70085,0.85846,0.82876,0.46749,1.56993,0.77566,1.90996,6.15714e-05,6.15714e-05,6.15714e-05
33,3007.51,1.09428,0.62926,1.49519,0.68563,0.85604,0.82351,0.46106,1.58052,0.77499,1.9366,4.74286e-05,4.74286e-05,4.74286e-05
34,3087.45,1.07596,0.62264,1.47299,0.69693,0.84564,0.8234,0.46173,1.5681,0.77687,1.93047,3.32857e-05,3.32857e-05,3.32857e-05
35,3174.1,1.06028,0.61055,1.45971,0.69735,0.82513,0.8259,0.47204,1.55447,0.76655,1.91217,1.91429e-05,1.91429e-05,1.91429e-05
